EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,
LCL,,,,,,,,,,shares traded on avg,,realized vol,,,Company description
Ticker,Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,Country,Primary Exchange Name,volume avg 20d,volume avg 3m,volatility 30d,volatility 60d,volatility 90d,CIE_DES
None (2039 securities),,,,,,,,,,,,,,,
AAPL US Equity,APPLE INC,1397320974336,1397320974336,318.730010986328,26.8860931396484,8.54078583726612,260174000128,US,NASDAQ GS,32700336,26856292,16.8829122731916,17.7300783657708,18.5781962390942,"Apple Inc. designs, manufactures, and markets personal computers and related personal computing and mobile communication devices along with a variety of related software, services, peripherals, and networking solutions. Apple sells its products worldwide through its online stores, its retail stores, its direct sales force, third-party wholesalers, and resellers."
MSFT US Equity,MICROSOFT CORP,1274773372928,1274773372928,167.100006103516,33.4426002502441,5.96069076549099,129813999616,US,NASDAQ GS,22748676,22241778,13.4692441723527,13.1036275886441,15.0946746931896,"Microsoft Corporation develops, manufactures, licenses, sells, and supports software products. The Company offers operating system software, server application software, business and consumer applications software, software development tools, and Internet and intranet software. Microsoft also develops video game consoles and digital music entertainment devices."
GOOGL US Equity,ALPHABET INC-CL A,1020725493760,1020725493760,1479.52001953125,34.2570381164551,10.46222559152,155057995776,US,NASDAQ GS,1460695.25,1428380.5,14.2829255805168,14.8663248763047,15.7174522364713,"Alphabet Inc. operates as a holding company. The Company, through its subsidiaries, provides web-based search, advertisements, maps, software applications, mobile operating systems, consumer content, enterprise solutions, commerce, and hardware products."
GOOG US Equity,ALPHABET INC-CL C,1020725493760,1020725493760,1480.39001464844,34.2570381164551,10.7231001049223,155057995776,US,NASDAQ GS,1424825.375,1348562.5,14.0442458196816,14.7746353057205,15.6671408770027,"Alphabet Inc. operates as a holding company. The Company, through its subsidiaries, provides web-based search, advertisements, maps, software applications, mobile operating systems, consumer content, enterprise solutions, commerce, and hardware products."
AMZN US Equity,AMAZON.COM INC,924522971136,924522971136,1864.71997070312,82.5828170776367,0.913499285384223,265467998208,US,NASDAQ GS,3532120.75,3135794.75,18.82762932026,16.4550594476882,17.0243501466711,"Amazon.com, Inc. is an online retailer that offers a wide range of products. The Company products include books, music, videotapes, computers, electronics, home and garden, and numerous other products. Amazon offers personalized shopping services, Web-based credit card payment, and direct shipping to customers."
FB US Equity,FACEBOOK INC-CLASS A,633486966784,633486966784,222.139999389648,26.4959526062012,8.228988740389,66529000448,US,NASDAQ GS,13010856,13743982,19.3851413258002,16.8753807590055,20.6302213923191,"Facebook, Inc. operates a social networking website. The Company website allows people to communicate with their family, friends, and coworkers. Facebook develops technologies that facilitate the sharing of information, photographs, website links, and videos. Facebook users have the ability to share and restrict information based on their own specific criteria."
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,610131705856,610131705856,227.429992675781,33.2131729125977,7.22771623343745,444716998656,CH,New York,12332957,15314243,19.9909378173979,21.196906083658,27.3543323747642,"Alibaba Group Holding Limited operates as a holding company. The Company provides internet infrastructure, electronic commerce, online financial, and internet content services through its subsidiaries. Alibaba Group Holding offers its products and services worldwide."
BABAF US Equity,ALIBABA GROUP HOLDING LTD,606295425024,606295425024,28.25,33.2131729125977,4.62962962962963,444716998656,CH,OTC US,652.099975585938,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,"Alibaba Group Holding Limited operates as a holding company. The Company provides internet infrastructure, electronic commerce, online financial, and internet content services through its subsidiaries. Alibaba Group Holding offers its products and services worldwide."
BRK/B US Equity,BERKSHIRE HATHAWAY INC-CL B,562616401920,562616401920,230.199996948242,22.3444328308105,1.63355273653076,258749999104,US,New York,3740311.5,3610572.5,10.4669140337412,9.86741989478221,11.1477241702253,"Berkshire Hathaway Inc. is a holding company owning subsidiaries in a variety of business sectors. The Company's principal operations are insurance business conducted nationwide on a primary basis and worldwide on a reinsurance basis. Berkshire's other operations include a railway company, a specialty chemical company, and an international association of diversified businesses."
BRK/A US Equity,BERKSHIRE HATHAWAY INC-CL A,562616401920,562616401920,344970,22.3444328308105,1.58426337642452,258749999104,US,New York,228,276.890625,10.0966848020488,9.56424306584696,10.8409889578513,"Berkshire Hathaway Inc. is a holding company owning subsidiaries in a variety of business sectors. The Company's principal operations are insurance business conducted nationwide on a primary basis and worldwide on a reinsurance basis. Berkshire's other operations include a railway company, a specialty chemical company, and an international association of diversified businesses."
TCTZF US Equity,TENCENT HOLDINGS LTD,493106003968,493106003968,51.6199989318848,38.5325660705566,6.87370548088289,356417994752,CH,OTC US,123684.5,50956.921875,24.1974637100964,23.9814973714029,22.8428701839279,"Tencent Holdings Limited operates as an investment holding company. The Company, through its subsidiaries, provides Internet and mobile value-added services (VAS), online advertising, and e-commerce transactions. Tencent Holdings offers services to users worldwide."
TCEHY US Equity,TENCENT HOLDINGS LTD-UNS ADR,492914933760,492914933760,51.5999984741211,38.5325660705566,7.47760941074169,356417994752,CH,OTC US,3094589.75,3325558,24.0276836891543,23.7411412231029,22.2400443046436,"Tencent Holdings Limited operates as an investment holding company. The Company, through its subsidiaries, provides Internet and mobile value-added services (VAS), online advertising, and e-commerce transactions. Tencent Holdings offers services to users worldwide."
JPM US Equity,JPMORGAN CHASE & CO,433462214656,433462214656,138.199996948242,13.2384843826294,-0.215861150809971,142926999552,US,New York,11585834,10444539,16.1468935561992,14.038329412588,16.4670249969315,"JPMorgan Chase & Co. provides global financial services and retail banking. The Company provides services such as investment banking, treasury and securities services, asset management, private banking, card member services, commercial banking, and home finance. JP Morgan Chase serves business enterprises, institutions, and individuals."
V US Equity,VISA INC-CLASS A SHARES,402948882432,402948882432,204.699996948242,38.0923652648926,8.94092793904671,22976999936,US,New York,7211795.5,7413396.5,12.3430448946381,14.0453253613675,16.1611429945505,"Visa Inc. operates a retail electronic payments network and manages global financial services. The Company also offers global commerce through the transfer of value and information among financial institutions, merchants, consumers, businesses, and government entities."
JNJ US Equity,JOHNSON & JOHNSON,392596389888,392596389888,149.169998168945,23.3847675323486,2.26229050676714,81706000384,US,New York,6272063.5,6951356.5,8.46291041465434,12.8394237109567,17.8644595313347,"Johnson & Johnson manufactures health care products and provides related services for the consumer, pharmaceutical, and medical devices and diagnostics markets. The Company sells products such as skin and hair care products, acetaminophen products, pharmaceuticals, diagnostic equipment, and surgical equipment in countries located around the world."
